alpha_r,alpha_nr,empty_intent,precision,recall,f_score
1.0,100.0,0.1,0.378378378378,0.411764705882,0.394366197183
1.0,100.0,0.01,0.269230769231,0.411764705882,0.325581395349
1.0,100.0,0.001,0.241935483871,0.441176470588,0.3125
1.0,10.0,0.1,0.285714285714,0.411764705882,0.33734939759
1.0,10.0,0.01,0.407407407407,0.323529411765,0.360655737705
1.0,10.0,0.001,0.288461538462,0.441176470588,0.348837209302
1.0,1.0,0.1,0.333333333333,0.470588235294,0.390243902439
1.0,1.0,0.01,0.464285714286,0.382352941176,0.41935483871
1.0,1.0,0.001,0.276595744681,0.382352941176,0.320987654321
1.0,0.1,0.1,0.188888888889,0.5,0.274193548387
1.0,0.1,0.01,0.384615384615,0.294117647059,0.333333333333
1.0,0.1,0.001,0.305555555556,0.323529411765,0.314285714286
1.0,0.01,0.1,0.27027027027,0.294117647059,0.281690140845
1.0,0.01,0.01,0.434782608696,0.294117647059,0.350877192982
1.0,0.01,0.001,0.36,0.264705882353,0.305084745763
0.1,100.0,0.1,0.272727272727,0.352941176471,0.307692307692
0.1,100.0,0.01,0.37037037037,0.294117647059,0.327868852459
0.1,100.0,0.001,0.333333333333,0.264705882353,0.295081967213
0.1,10.0,0.1,0.363636363636,0.235294117647,0.285714285714
0.1,10.0,0.01,0.318181818182,0.411764705882,0.358974358974
0.1,10.0,0.001,0.379310344828,0.323529411765,0.349206349206
0.1,1.0,0.1,0.276595744681,0.382352941176,0.320987654321
0.1,1.0,0.01,0.48275862069,0.411764705882,0.444444444444
0.1,1.0,0.001,0.321428571429,0.264705882353,0.290322580645
0.1,0.1,0.1,0.211267605634,0.441176470588,0.285714285714
0.1,0.1,0.01,0.346153846154,0.264705882353,0.3
0.1,0.1,0.001,0.357142857143,0.294117647059,0.322580645161
0.1,0.01,0.1,0.272727272727,0.264705882353,0.268656716418
0.1,0.01,0.01,0.3,0.264705882353,0.28125
0.1,0.01,0.001,0.351351351351,0.382352941176,0.366197183099
0.01,100.0,0.1,0.208333333333,0.147058823529,0.172413793103
0.01,100.0,0.01,0.285714285714,0.235294117647,0.258064516129
0.01,100.0,0.001,0.363636363636,0.235294117647,0.285714285714
0.01,10.0,0.1,0.173913043478,0.117647058824,0.140350877193
0.01,10.0,0.01,0.214285714286,0.176470588235,0.193548387097
0.01,10.0,0.001,0.28,0.205882352941,0.237288135593
0.01,1.0,0.1,0.141025641026,0.323529411765,0.196428571429
0.01,1.0,0.01,0.304347826087,0.205882352941,0.245614035088
0.01,1.0,0.001,0.257142857143,0.264705882353,0.260869565217
0.01,0.1,0.1,0.2,0.205882352941,0.202898550725
0.01,0.1,0.01,0.28,0.205882352941,0.237288135593
0.01,0.1,0.001,0.235294117647,0.235294117647,0.235294117647
0.01,0.01,0.1,0.470588235294,0.235294117647,0.313725490196
0.01,0.01,0.01,0.333333333333,0.205882352941,0.254545454545
0.01,0.01,0.001,0.235294117647,0.235294117647,0.235294117647
0.001,100.0,0.1,0.208333333333,0.147058823529,0.172413793103
0.001,100.0,0.01,0.222222222222,0.176470588235,0.196721311475
0.001,100.0,0.001,0.368421052632,0.205882352941,0.264150943396
0.001,10.0,0.1,0.217391304348,0.147058823529,0.175438596491
0.001,10.0,0.01,0.192307692308,0.147058823529,0.166666666667
0.001,10.0,0.001,0.259259259259,0.205882352941,0.229508196721
0.001,1.0,0.1,0.217391304348,0.147058823529,0.175438596491
0.001,1.0,0.01,0.181818181818,0.117647058824,0.142857142857
0.001,1.0,0.001,0.259259259259,0.205882352941,0.229508196721
0.001,0.1,0.1,0.263157894737,0.147058823529,0.188679245283
0.001,0.1,0.01,0.12,0.176470588235,0.142857142857
0.001,0.1,0.001,0.258064516129,0.235294117647,0.246153846154
0.001,0.01,0.1,0.230769230769,0.176470588235,0.2
0.001,0.01,0.01,0.2,0.147058823529,0.169491525424
0.001,0.01,0.001,0.28,0.205882352941,0.237288135593
0.0001,100.0,0.1,0.217391304348,0.147058823529,0.175438596491
0.0001,100.0,0.01,0.11320754717,0.176470588235,0.137931034483
0.0001,100.0,0.001,0.238095238095,0.147058823529,0.181818181818
0.0001,10.0,0.1,0.217391304348,0.147058823529,0.175438596491
0.0001,10.0,0.01,0.173913043478,0.117647058824,0.140350877193
0.0001,10.0,0.001,0.1875,0.176470588235,0.181818181818
0.0001,1.0,0.1,0.208333333333,0.147058823529,0.172413793103
0.0001,1.0,0.01,0.107692307692,0.205882352941,0.141414141414
0.0001,1.0,0.001,0.142857142857,0.147058823529,0.144927536232
0.0001,0.1,0.1,0.217391304348,0.147058823529,0.175438596491
0.0001,0.1,0.01,0.208333333333,0.147058823529,0.172413793103
0.0001,0.1,0.001,0.173913043478,0.117647058824,0.140350877193
0.0001,0.01,0.1,0.263157894737,0.147058823529,0.188679245283
0.0001,0.01,0.01,0.112359550562,0.294117647059,0.162601626016
0.0001,0.01,0.001,0.10843373494,0.264705882353,0.153846153846
